intrinsic,argument_preparation,a64_instruction,result,supported_architecture
"int64x2_t vuqaddq_s64(int64x2_t a, uint64x2_t b)","a → Vd.2D
b → Vn.2D","SUQADD Vd.2D,Vn.2D",Vd.2D,ARMv8(AArch64)
"int8_t vuqaddb_s8(int8_t a, uint8_t b)","a → Bd
b → Bn","SUQADD Bd,Bn",Bd,ARMv8(AArch64)
"int16_t vuqaddh_s16(int16_t a, uint16_t b)","a → Hd
b → Hn","SUQADD Hd,Hn",Hd,ARMv8(AArch64)
"int32_t vuqadds_s32(int32_t a, uint32_t b)","a → Sd
b → Sn","SUQADD Sd,Sn",Sd,ARMv8(AArch64)
"int64_t vuqaddd_s64(int64_t a, uint64_t b)","a → Dd
b → Dn","SUQADD Dd,Dn",Dd,ARMv8(AArch64)
"uint8x8_t vsqadd_u8(uint8x8_t a, int8x8_t b)","a → Vd.8B
b → Vn.8B","USQADD Vd.8B,Vn.8B",Vd.8B,ARMv8(AArch64)
"uint8x16_t vsqaddq_u8(uint8x16_t a, int8x16_t b)","a → Vd.16B
b → Vn.16B","USQADD Vd.16B,Vn.16B",Vd.16B,ARMv8(AArch64)
"uint16x4_t vsqadd_u16(uint16x4_t a, int16x4_t b)","a → Vd.4H
b → Vn.4H","USQADD Vd.4H,Vn.4H",Vd.4H,ARMv8(AArch64)
"uint16x8_t vsqaddq_u16(uint16x8_t a, int16x8_t b)","a → Vd.8H
b → Vn.8H","USQADD Vd.8H,Vn.8H",Vd.8H,ARMv8(AArch64)
"uint32x2_t vsqadd_u32(uint32x2_t a, int32x2_t b)","a → Vd.2S
b → Vn.2S","USQADD Vd.2S,Vn.2S",Vd.2S,ARMv8(AArch64)
"uint32x4_t vsqaddq_u32(uint32x4_t a, int32x4_t b)","a → Vd.4S
b → Vn.4S","USQADD Vd.4S,Vn.4S",Vd.4S,ARMv8(AArch64)
"uint64x1_t vsqadd_u64(uint64x1_t a, int64x1_t b)","a → Dd
b → Dn","USQADD Dd,Dn",Dd,ARMv8(AArch64)
"uint64x2_t vsqaddq_u64(uint64x2_t a, int64x2_t b)","a → Vd.2D
b → Vn.2D","USQADD Vd.2D,Vn.2D",Vd.2D,ARMv8(AArch64)
"uint8_t vsqaddb_u8(uint8_t a, int8_t b)","a → Bd
b → Bn","USQADD Bd,Bn",Bd,ARMv8(AArch64)
"uint16_t vsqaddh_u16(uint16_t a, int16_t b)","a → Hd
b → Hn","USQADD Hd,Hn",Hd,ARMv8(AArch64)
"uint32_t vsqadds_u32(uint32_t a, int32_t b)","a → Sd
b → Sn","USQADD Sd,Sn",Sd,ARMv8(AArch64)
"uint64_t vsqaddd_u64(uint64_t a, int64_t b)","a → Dd
b → Dn","USQADD Dd,Dn",Dd,ARMv8(AArch64)
"int8x8_t vaddhn_s16(int16x8_t a, int16x8_t b)","a → Vn.8H
b → Vm.8H","ADDHN Vd.8B,Vn.8H,Vm.8H",Vd.8B,"ARMv7
ARMv8"
"int16x4_t vaddhn_s32(int32x4_t a, int32x4_t b)","a → Vn.4S
b → Vm.4S","ADDHN Vd.4H,Vn.4S,Vm.4S",Vd.4H,"ARMv7
ARMv8"
"int32x2_t vaddhn_s64(int64x2_t a, int64x2_t b)","a → Vn.2D
b → Vm.2D","ADDHN Vd.2S,Vn.2D,Vm.2D",Vd.2S,"ARMv7
ARMv8"
"uint8x8_t vaddhn_u16(uint16x8_t a, uint16x8_t b)","a → Vn.8H
b → Vm.8H","ADDHN Vd.8B,Vn.8H,Vm.8H",Vd.8B,"ARMv7
ARMv8"
"uint16x4_t vaddhn_u32(uint32x4_t a, uint32x4_t b)","a → Vn.4S
b → Vm.4S","ADDHN Vd.4H,Vn.4S,Vm.4S",Vd.4H,"ARMv7
ARMv8"
"uint32x2_t vaddhn_u64(uint64x2_t a, uint64x2_t b)","a → Vn.2D
b → Vm.2D","ADDHN Vd.2S,Vn.2D,Vm.2D",Vd.2S,"ARMv7
ARMv8"
"int8x16_t vaddhn_high_s16(int8x8_t r, int16x8_t a, int16x8_t b)","r → Vd.8B
a → Vn.8H
b → Vm.8H","ADDHN2 Vd.16B,Vn.8H,Vm.8H",Vd.16B,ARMv8(AArch64)
"int16x8_t vaddhn_high_s32(int16x4_t r, int32x4_t a, int32x4_t b)","r → Vd.4H
a → Vn.4S
b → Vm.4S","ADDHN2 Vd.8H,Vn.4S,Vm.4S",Vd.8H,ARMv8(AArch64)
"int32x4_t vaddhn_high_s64(int32x2_t r, int64x2_t a, int64x2_t b)","r → Vd.2S
a → Vn.2D
b → Vm.2D","ADDHN2 Vd.4S,Vn.2D,Vm.2D",Vd.4S,ARMv8(AArch64)
"uint8x16_t vaddhn_high_u16(uint8x8_t r, uint16x8_t a, uint16x8_t b)","r → Vd.8B
a → Vn.8H
b → Vm.8H","ADDHN2 Vd.16B,Vn.8H,Vm.8H",Vd.16B,ARMv8(AArch64)
"uint16x8_t vaddhn_high_u32(uint16x4_t r, uint32x4_t a, uint32x4_t b)","r → Vd.4H
a → Vn.4S
b → Vm.4S","ADDHN2 Vd.8H,Vn.4S,Vm.4S",Vd.8H,ARMv8(AArch64)
"uint32x4_t vaddhn_high_u64(uint32x2_t r, uint64x2_t a, uint64x2_t b)","r → Vd.2S
a → Vn.2D
b → Vm.2D","ADDHN2 Vd.4S,Vn.2D,Vm.2D",Vd.4S,ARMv8(AArch64)
"int8x8_t vraddhn_s16(int16x8_t a, int16x8_t b)","a → Vn.8H
b → Vm.8H","RADDHN Vd.8B,Vn.8H,Vm.8H",Vd.8B,"ARMv7
ARMv8"
"int16x4_t vraddhn_s32(int32x4_t a, int32x4_t b)","a → Vn.4S
b → Vm.4S","RADDHN Vd.4H,Vn.4S,Vm.4S",Vd.4H,"ARMv7
ARMv8"
"int32x2_t vraddhn_s64(int64x2_t a, int64x2_t b)","a → Vn.2D
b → Vm.2D","RADDHN Vd.2S,Vn.2D,Vm.2D",Vd.2S,"ARMv7
ARMv8"
"uint8x8_t vraddhn_u16(uint16x8_t a, uint16x8_t b)","a → Vn.8H
b → Vm.8H","RADDHN Vd.8B,Vn.8H,Vm.8H",Vd.8B,"ARMv7
ARMv8"
"uint16x4_t vraddhn_u32(uint32x4_t a, uint32x4_t b)","a → Vn.4S
b → Vm.4S","RADDHN Vd.4H,Vn.4S,Vm.4S",Vd.4H,"ARMv7
ARMv8"
"uint32x2_t vraddhn_u64(uint64x2_t a, uint64x2_t b)","a → Vn.2D
b → Vm.2D","RADDHN Vd.2S,Vn.2D,Vm.2D",Vd.2S,"ARMv7
ARMv8"
"int8x16_t vraddhn_high_s16(int8x8_t r, int16x8_t a, int16x8_t b)","r → Vd.8B
a → Vn.8H
b → Vm.8H","RADDHN2 Vd.16B,Vn.8H,Vm.8H",Vd.16B,ARMv8(AArch64)
"int16x8_t vraddhn_high_s32(int16x4_t r, int32x4_t a, int32x4_t b)","r → Vd.4H
a → Vn.4S
b → Vm.4S","RADDHN2 Vd.8H,Vn.4S,Vm.4S",Vd.8H,ARMv8(AArch64)
"int32x4_t vraddhn_high_s64(int32x2_t r, int64x2_t a, int64x2_t b)","r → Vd.2S
a → Vn.2D
b → Vm.2D","RADDHN2 Vd.4S,Vn.2D,Vm.2D",Vd.4S,ARMv8(AArch64)
"uint8x16_t vraddhn_high_u16(uint8x8_t r, uint16x8_t a, uint16x8_t b)","r → Vd.8B
a → Vn.8H
b → Vm.8H","RADDHN2 Vd.16B,Vn.8H,Vm.8H",Vd.16B,ARMv8(AArch64)
"uint16x8_t vraddhn_high_u32(uint16x4_t r, uint32x4_t a, uint32x4_t b)","r → Vd.4H
a → Vn.4S
b → Vm.4S","RADDHN2 Vd.8H,Vn.4S,Vm.4S",Vd.8H,ARMv8(AArch64)
"uint32x4_t vraddhn_high_u64(uint32x2_t r, uint64x2_t a, uint64x2_t b)","r → Vd.2S
a → Vn.2D
b → Vm.2D","RADDHN2 Vd.4S,Vn.2D,Vm.2D",Vd.4S,ARMv8(AArch64)
"int8x8_t vmul_s8(int8x8_t a, int8x8_t b)","a → Vn.8B
b → Vm.8B","MUL Vd.8B,Vn.8B,Vm.8B",Vd.8B,"ARMv7
ARMv8"
"int8x16_t vmulq_s8(int8x16_t a, int8x16_t b)","a → Vn.16B
b → Vm.16B","MUL Vd.16B,Vn.16B,Vm.16B",Vd.16B,"ARMv7
ARMv8"
"int16x4_t vmul_s16(int16x4_t a, int16x4_t b)","a → Vn.4H
b → Vm.4H","MUL Vd.4H,Vn.4H,Vm.4H",Vd.4H,"ARMv7
ARMv8"
"int16x8_t vmulq_s16(int16x8_t a, int16x8_t b)","a → Vn.8H
b → Vm.8H","MUL Vd.8H,Vn.8H,Vm.8H",Vd.8H,"ARMv7
ARMv8"
"int32x2_t vmul_s32(int32x2_t a, int32x2_t b)","a → Vn.2S
b → Vm.2S","MUL Vd.2S,Vn.2S,Vm.2S",Vd.2S,"ARMv7
ARMv8"
